id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
42188,PA-0006,small_airport,"Finca Blanco Airport",8.389832,-82.870847,72,NA,Panama,PA,"Chiriquí Province",PA-4,4,"Finca Blanco",0,,,,,,,50,2021-08-06T10:50:36+00:00
42189,PA-0007,small_airport,"Finca Fátima Airport",8.388027,-82.748509,26,NA,Panama,PA,"Chiriquí Province",PA-4,4,"Finca Fátima",0,,,,,,,50,2021-08-06T10:53:08+00:00
5323,MP01,small_airport,"Finca Ceiba Airport",8.354999542236328,-82.8364028930664,52,NA,Panama,PA,"Chiriquí Province",PA-4,4,"Finca Jaguá",0,MP01,,MP01,,,,50,2008-09-27T10:50:15+00:00
5335,MP27,small_airport,"Deborah Airport",9.51614,-82.595497,20,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,Guabito,0,MP27,,MP27,,,"Guabito California",50,2022-10-17T13:19:33+00:00
5325,MP03,small_airport,"La Cabezona Airport",8.3457,-82.5042,31,NA,Panama,PA,"Chiriquí Province",PA-4,4,Guarumal,0,MPCB,,,,,MP03,50,2023-11-22T23:03:05+00:00
5331,MP22,small_airport,"Ingenio Santa Rosa Airport",8.195219993591309,-80.65869903564453,109,NA,Panama,PA,"Coclé Province",PA-2,2,"Ingenio Santa Rosa",0,MP22,,MP22,,,,50,2008-09-27T10:50:15+00:00
42184,PA-0003,small_airport,"Ailigandí Airport",9.2226,-78.0236,55,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,"Isla Lorenzo Bello",0,MPAI,AIL,,,https://en.wikipedia.org/wiki/Ailigandí_Airport,"Ailigandi, Alligandi",50,2022-11-30T16:34:14+00:00
506051,PA-0037,small_airport,"Coibito Landing Airstrip",7.639068,-81.702433,,NA,Panama,PA,"Veraguas Province",PA-9,9,"Isla Rancheria",0,,,,,,,50,2023-01-13T19:11:17+00:00
315016,TUE,closed,"Tupile Airport",9.45,-78.566667,5,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,"Isla Tupile",0,,,,,,TUE,50,2022-08-18T13:05:50+00:00
316554,PA-0027,small_airport,"Candelaria Airport",7.7326,-80.1403,65,NA,Panama,PA,"Los Santos Province",PA-7,7,"La Candelaria",0,,,,,,,50,2015-12-17T23:03:00+00:00
4794,MPZL,small_airport,"Finca 32 Airport",9.42708969116211,-82.56269836425781,23,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,"La Dalia",0,MPZL,,,,,,50,2008-09-27T10:50:09+00:00
42191,PA-0008,small_airport,"La Joya Airport",9.13856029510498,-79.24019622802734,96,NA,Panama,PA,"Panamá Province",PA-8,8,"La Joya",0,,,,,,,50,2008-09-27T10:50:32+00:00
31939,MPNU,small_airport,"Augusto Vergara Airport",7.8575,-80.276167,49,NA,Panama,PA,"Los Santos Province",PA-7,7,"Los Santos",0,MPGU,,,,https://en.wikipedia.org/wiki/Augusto_Vergara_Airport,Guararé,50,2024-04-10T13:24:46+00:00
315017,PA-0023,closed,"Isla Tigre Airstrip",9.4339,-78.5235,7,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Mamartupu,0,,,,,,,50,2022-11-30T16:47:00+00:00
